Time,carAccumulative,truckAccumulative,busAccumulative,motorbikeAccumulative
7:00:00,67,38,2,
7:05:21,85,31,1,
7:10:42,53,45,5,
7:16:04,51,30,3,
7:21:25,70,32,5,
7:26:47,66,26,3,
7:32:08,86,47,2,1
7:37:30,89,54,2,
7:42:51,77,49,4,
7:48:12,100,48,5,
7:53:34,130,44,4,
7:58:55,94,32,3,
8:00:17,91,59,2,
8:05:38,106,113,4,1
8:11:00,68,38,2,
8:16:21,69,41,3,
8:21:42,29,36,1,
8:27:04,31,28,5,1
8:32:25,58,34,2,
8:37:47,100,39,3,
8:43:08,57,42,3,
8:48:30,58,33,3,
8:53:51,82,55,,
8:59:12,119,85,3,1
9:00:34,97,42,,
9:05:55,128,31,2,2
9:11:17,138,27,2,
9:16:38,154,61,5,
9:22:00,144,46,3,
9:27:21,104,32,3,
9:32:42,65,23,2,1
9:38:04,113,47,11,1
9:43:25,78,40,5,6
9:48:47,92,35,3,6
9:54:08,80,33,,6
9:59:30,48,43,2,1
10:00:51,128,54,2,1
10:06:12,154,67,8,3
10:11:34,76,57,3,2
10:16:55,86,74,9,2
10:22:17,67,37,9,5
10:27:38,105,42,3,6
10:33:00,69,46,4,2
10:38:21,77,46,7,4
10:43:42,138,78,11,4
10:49:04,80,52,9,6
10:54:25,78,19,3,6
10:59:47,55,41,10,4
11:00:08,73,27,4,6
11:05:30,80,33,2,3
11:10:51,109,34,1,2
11:16:12,75,27,4,1
11:21:34,117,35,,2
11:26:55,80,42,6,4
11:32:17,117,29,2,4
11:37:38,84,16,2,
12:00:00,190,52,5,1
12:05:10,133,28,1,1
12:10:20,91,41,2,10
12:15:31,198,35,1,1
12:20:41,175,63,,2
12:25:51,102,63,1,1
12:31:02,164,41,4,8
12:36:12,147,76,3,
12:41:22,193,69,6,4
12:46:33,156,58,2,
12:51:43,81,27,1,3
12:56:53,76,25,1,1
13:00:04,94,38,,
13:05:14,145,36,4,2
13:10:24,166,56,4,1
13:15:35,172,25,1,
13:20:45,222,39,,
13:25:55,183,44,4,1
13:31:06,140,50,2,
13:36:16,202,27,,1
13:41:26,119,46,3,
13:46:37,154,23,2,1
13:51:47,182,33,8,1
13:56:57,132,28,2,
14:00:08,115,49,2,1
14:05:18,95,18,4,
14:10:28,117,33,6,1
14:15:39,226,30,3,
14:20:49,171,16,5,
14:26:00,144,20,,
14:31:10,168,27,,
14:36:20,94,17,1,
14:41:31,182,21,1,
14:46:41,118,35,6,
14:51:51,167,30,4,
14:57:02,150,19,2,
15:00:12,145,20,2,
15:05:22,132,16,,
15:10:33,74,11,,
15:15:43,100,20,3,
15:20:53,88,7,1,
15:26:04,66,12,2,
15:31:14,90,20,3,
15:36:24,55,6,,
15:41:35,71,6,2,
15:46:45,112,15,1,
15:51:55,95,19,2,
15:57:06,81,6,,
16:00:16,39,2,1,
16:05:26,31,3,,
16:10:37,45,4,,
16:15:47,64,4,,
16:20:57,78,2,1,
16:26:08,27,1,1,
16:31:18,7,,,
16:36:28,17,2,,
16:41:39,83,12,3,
16:46:49,74,14,1,
,car,truck,bus,motorbike
,11863,3935,321,135
