,timeSeconds,frameNum,blobCount,trackCount,Unnamed: 4,Accumulative,TOTAL,TOTALAccumulative,Time
0,325,3579,0,0,0,25,0,25,7:0:0
1,325,3579,0,0,0,15,0,15,7:4:55
2,325,3579,0,0,0,18,0,18,7:9:50
3,325,3579,0,0,0,15,0,15,7:14:45
4,325,3579,0,0,0,13,0,13,7:19:40
5,325,3579,1,1,1,27,1,27,7:24:35
6,325,3579,0,0,0,28,0,28,7:29:30
7,325,3579,0,0,0,17,0,17,7:34:25
8,325,3579,0,0,0,18,0,18,7:39:20
9,325,3579,0,0,0,12,0,12,7:44:15
10,325,3579,1,1,1,64,1,64,7:49:10
11,325,3579,4,4,4,321,4,321,7:54:5
12,325,3579,3,3,3,120,3,120,7:59:0
13,325,3579,4,4,4,121,4,121,8:0:56
14,325,3579,6,6,6,123,6,123,8:5:51
15,325,3579,4,4,4,114,4,114,8:10:46
16,325,3579,6,6,6,105,6,105,8:15:41
17,325,3579,4,4,4,134,4,134,8:20:36
18,325,3579,6,6,6,109,6,109,8:25:31
19,325,3579,6,6,6,150,6,150,8:30:26
20,325,3579,6,6,6,143,6,143,8:35:21
21,325,3579,5,5,5,97,5,97,8:40:16
22,325,3579,3,3,3,135,3,135,8:45:11
23,325,3579,3,3,3,94,3,94,8:50:6
24,325,3579,5,5,5,63,5,63,8:55:1
25,325,3579,3,3,3,90,3,90,8:59:57
26,325,3579,5,5,5,96,5,96,9:0:52
27,325,3579,2,2,2,122,2,122,9:5:47
28,325,3579,3,3,3,81,3,81,9:10:42
29,325,3579,3,3,3,128,3,128,9:15:37
30,325,3579,1,1,1,38,1,38,9:20:32
31,325,3579,0,0,0,21,0,21,9:25:27
32,325,3579,1,1,1,29,1,29,9:30:22
33,325,3579,0,0,0,24,0,24,9:35:17
34,325,3579,0,0,0,24,0,24,9:40:12
35,325,3579,0,0,0,31,0,31,9:45:7
36,325,3579,2,2,2,35,2,35,9:50:2
37,325,3579,0,0,0,55,0,55,9:54:58
38,325,3579,1,1,1,38,1,38,9:59:53
39,325,3579,0,0,0,36,0,36,10:0:48
40,325,3579,1,1,1,33,1,33,10:5:43
41,325,3579,0,0,0,43,0,43,10:10:38
42,325,3579,3,3,3,40,3,40,10:15:33
43,325,3579,0,0,0,37,0,37,10:20:28
44,325,3579,1,1,1,49,1,49,10:25:23
45,325,3579,0,0,0,45,0,45,10:30:18
46,325,3579,0,0,0,38,0,38,10:35:13
47,325,3579,0,0,0,80,0,80,10:40:8
48,325,3579,0,0,0,53,0,53,10:45:3
49,325,3579,3,3,3,81,3,81,10:49:59
50,325,3579,3,3,3,242,3,242,10:54:54
51,325,3579,4,4,4,133,4,133,10:59:49
52,325,3579,4,4,4,160,4,160,11:0:44
53,325,3579,10,10,10,175,10,175,11:5:39
54,325,3579,5,5,5,221,5,221,11:10:34
55,325,3579,3,3,3,163,3,163,11:15:29
56,325,3579,5,5,5,170,5,170,11:20:24
57,325,3579,4,4,4,186,4,186,11:25:19
58,325,3579,4,4,4,215,4,215,11:30:14
59,325,3579,7,7,7,171,7,171,11:35:9
60,5,59,8,8,8,16,8,16,11:40:4
61,327,3598,0,0,0,53,0,53,12:0:0
62,327,3598,0,0,0,19,0,19,12:4:55
63,327,3598,2,2,2,27,2,27,12:9:50
64,327,3598,0,0,0,53,0,53,12:14:45
65,327,3598,1,1,1,34,1,34,12:19:40
66,327,3598,0,0,0,37,0,37,12:24:35
67,327,3598,0,0,0,30,0,30,12:29:30
68,327,3598,0,0,0,40,0,40,12:34:25
