Time,carAccumulative,truckAccumulative,busAccumulative,motorbikeAccumulative
7:00:00,59,28,1,
7:05:10,56,34,1,
7:10:20,72,28,4,
7:15:31,61,29,1,
7:20:41,137,26,1,
7:25:51,106,47,3,
7:31:02,90,35,2,
7:36:12,136,50,2,
7:41:22,169,39,2,
7:46:33,163,37,4,
7:51:43,74,31,2,1
7:56:53,64,47,2,
8:00:04,71,42,4,1
8:05:14,122,86,2,
8:10:24,119,55,2,
8:15:35,162,30,2,
8:20:45,125,54,3,3
8:25:55,89,69,,
8:31:06,146,58,4,3
8:36:16,230,54,2,1
8:41:26,201,44,2,
8:46:37,163,58,3,6
8:51:47,143,42,2,2
8:56:57,245,38,6,3
9:00:08,149,61,2,
9:05:18,106,56,1,1
9:10:28,137,54,4,2
9:15:39,92,54,2,
9:20:49,95,38,4,
9:26:00,142,48,3,1
9:31:10,142,22,1,1
9:36:20,186,58,3,6
9:41:31,121,48,5,4
9:46:41,132,25,9,4
9:51:51,102,38,6,4
9:57:02,88,30,10,2
10:00:12,141,30,5,10
10:05:22,110,31,2,3
10:10:33,103,30,8,7
10:15:43,78,43,7,3
10:20:53,77,51,6,3
10:26:04,107,29,8,1
10:31:14,136,63,3,8
10:36:24,170,26,6,10
10:41:35,129,38,11,13
10:46:45,136,33,6,3
10:51:55,187,44,10,12
10:57:06,147,59,19,3
11:00:16,140,37,3,4
11:05:26,174,18,4,9
11:10:37,231,39,7,2
11:15:47,122,45,2,3
11:20:57,142,24,4,7
11:26:08,162,50,,9
11:31:18,185,41,9,16
11:36:28,163,27,7,3
11:41:39,144,24,10,12
11:46:49,23,9,2,
12:00:00,202,40,1,10
12:05:15,166,64,4,7
12:10:31,173,62,,14
12:15:47,142,33,2,2
12:21:03,148,37,11,8
12:26:18,130,31,6,8
12:31:34,129,66,3,4
12:36:50,61,64,1,2
12:42:06,131,56,1,1
12:47:22,203,57,6,
12:52:37,144,92,,1
12:57:53,193,71,5,4
13:00:09,140,32,2,6
13:05:25,200,51,4,8
13:10:41,209,36,4,4
13:15:56,200,47,2,6
13:21:12,166,36,4,6
13:26:28,177,69,4,12
13:31:44,232,46,5,7
13:36:59,175,64,3,8
13:42:15,140,33,7,5
13:47:31,159,30,11,
13:52:47,168,51,15,3
13:58:03,156,71,14,7
14:00:18,204,44,10,8
14:05:34,180,63,5,6
14:10:50,337,51,5,3
14:16:06,220,56,3,1
14:21:22,305,43,4,1
14:26:37,170,62,4,2
14:31:53,186,41,6,4
14:37:09,174,73,2,
14:42:25,196,59,13,5
14:47:41,267,46,7,1
14:52:56,163,63,3,
14:58:12,168,66,9,4
15:00:28,225,40,3,5
15:05:44,149,27,4,4
15:10:59,159,33,4,
15:16:15,169,56,8,1
15:21:31,185,34,5,
15:26:47,171,33,8,1
15:32:03,205,38,4,3
15:37:18,163,45,12,23
15:42:34,163,22,13,1
15:47:50,190,22,14,4
15:53:06,135,29,4,1
15:58:22,277,23,7,5
16:00:37,185,11,2,1
16:05:53,191,19,3,2
16:11:09,227,28,3,6
16:16:25,218,21,5,4
16:21:41,256,31,7,3
16:26:56,224,37,1,9
16:32:12,181,47,4,4
16:37:28,177,21,7,2
16:42:44,58,4,1,
,car,truck,bus,motorbike
,17924,4911,551,433
